fold,acc,precision,recall,f1,roc_auc
0,0.5294117647058824,0.5,0.875,0.6363636363636364,0.7083333333333333
1,0.75,0.7,0.875,0.7777777777777778,0.84375
2,0.75,0.7,0.875,0.7777777777777778,0.8125
3,0.5625,0.5454545454545454,0.75,0.631578947368421,0.625
4,0.625,0.5833333333333334,0.875,0.7,0.765625
mean,0.6433823529411764,0.6057575757575757,0.85,0.7046996278575227,0.7510416666666666
